case,time_proper_Myr,front_radius_proper_kpc,analytic_radius_proper_kpc,absolute_error_proper_kpc
instantaneous_100000,244.71937531953793,5.235343837103214,5.1380339481152975,0.09730988898791626
instantaneous_100000,244.72437531953793,5.235355264359499,5.13804490042177,0.09731036393772907
instantaneous_100000,244.72937531953792,5.235366691594198,5.138055852233973,0.09731083936022511
instantaneous_100000,244.73437531953792,5.235378118808616,5.138066803551932,0.09731131525668424
instantaneous_100000,244.7393753195379,5.235389546003522,5.138077754375671,0.09731179162785075
instantaneous_100000,244.7443753195379,5.235400973179952,5.138088704705216,0.09731226847473629
instantaneous_100000,244.74937531953793,5.23541240033921,5.138099654540589,0.0973127457986207
instantaneous_100000,244.75437531953793,5.23542382748232,5.138110603881815,0.09731322360050498
instantaneous_100000,244.75937531953792,5.235435254610062,5.13812155272892,0.09731370188114141
instantaneous_100000,244.76437531953792,5.235446681723726,5.1381325010819285,0.09731418064179742
instantaneous_100000,244.76937531953791,5.235458108824618,5.138143448940864,0.09731465988375376
instantaneous_100000,244.7743753195379,5.235469535913503,5.138154396305751,0.09731513960775207
instantaneous_100000,244.77937531953793,5.235480962991416,5.138165343176614,0.09731561981480219
instantaneous_100000,244.78437531953793,5.235492390059392,5.138176289553478,0.097316100505914
instantaneous_100000,244.78937531953792,5.235503817118721,5.138187235436368,0.09731658168235313
instantaneous_100000,244.79437531953792,5.235515244170179,5.138198180825307,0.09731706334487189
instantaneous_100000,244.79937531953792,5.235526671215058,5.138209125720319,0.09731754549473859
instantaneous_100000,244.8043753195379,5.235538098254122,5.138220070121433,0.09731802813268953
instantaneous_100000,244.80937531953793,5.235549525288686,5.138231014028667,0.09731851126001878
instantaneous_100000,244.81437531953793,5.235560952320027,5.138241957442051,0.09731899487797602
instantaneous_100000,244.81937531953793,5.235572379348651,5.138252900361606,0.0973194789870444
instantaneous_100000,244.82437531953792,5.23558380637586,5.1382638427873575,0.09731996358850292
instantaneous_100000,244.82937531953792,5.235595233402688,5.13827478471933,0.09732044868335787
instantaneous_100000,244.8343753195379,5.235606660430678,5.138285726157549,0.09732093427312893
instantaneous_100000,244.8393753195379,5.23561808746008,5.138296667102038,0.0973214203580417
instantaneous_100000,244.84437531953793,5.235629514492452,5.138307607552822,0.09732190693963005
instantaneous_100000,244.84937531953793,5.235640941528825,5.1383185475099244,0.0973223940189003
instantaneous_100000,244.85437531953792,5.235652368569959,5.138329486973371,0.09732288159658875
instantaneous_100000,244.85937531953792,5.2356637956171435,5.138340425943185,0.09732336967395838
instantaneous_100000,244.8643753195379,5.2356752226714205,5.1383513644193926,0.09732385825202794
instantaneous_100000,244.8693753195379,5.235686649733808,5.138362302402016,0.09732434733179218
instantaneous_100000,244.87437531953793,5.2356980768056065,5.138373239891081,0.09732483691452565
instantaneous_100000,244.87937531953793,5.235709503887574,5.138384176886612,0.09732532700096197
instantaneous_100000,244.88437531953792,5.235720930981012,5.138395113388634,0.09732581759237835
instantaneous_100000,244.88937531953792,5.23573235808668,5.1384060493971715,0.09732630868950842
instantaneous_100000,244.89437531953791,5.235743785205606,5.138416984912247,0.0973268002933585
