time_proper_Myr,radiation_pressure_proper_cgs_dyn_cm2,gas_pressure_proper_cgs_dyn_cm2,pressure_ratio
7.952841476667063536e-02,1.086555404271766183e-53,2.678154705263564849e-12,4.057104700248581148e-42
7.986654460388901977e-02,1.083585066956892664e-53,2.678214225399763880e-12,4.045923797582515220e-42
8.020451971316437667e-02,1.081104565274392291e-53,2.678322651933580077e-12,4.036498606670495780e-42
8.054234572162556616e-02,1.079379081319395969e-53,2.678408349046271609e-12,4.029927257745226372e-42
8.088002830642533614e-02,1.078059113645904700e-53,2.678489337102036310e-12,4.024877376634620586e-42
8.121757318103491052e-02,1.076630984991842836e-53,2.678603450652187776e-12,4.019374292711017416e-42
8.155498608253645976e-02,1.075011918671840234e-53,2.678664727117505345e-12,4.013238042779075342e-42
8.189227275985835885e-02,1.072837220742599476e-53,2.678710035684481560e-12,4.005051709407812481e-42
8.222943896289695853e-02,1.069243063897219493e-53,2.678810184269838382e-12,3.991484989029420205e-42
8.256649043246828967e-02,1.065351503785851199e-53,2.678878483925302558e-12,3.976856397849053203e-42
8.290343289103407898e-02,1.062674790212388920e-53,2.678936199325770778e-12,3.966779016535894787e-42
8.324027203414821607e-02,1.060409775209680595e-53,2.679042361560255791e-12,3.958167255676036428e-42
8.357701352257106142e-02,1.058815977135958458e-53,2.679127515429972980e-12,3.952092504137598441e-42
8.391366297500282845e-02,1.057583674626864974e-53,2.679206753509104927e-12,3.947376115119481585e-42
8.425022596138941056e-02,1.056162975751068409e-53,2.679313672220361658e-12,3.941916120913981787e-42
8.458670799675729879e-02,1.054492682162543832e-53,2.679370376907584250e-12,3.935598793100021606e-42
8.492311453553789968e-02,1.052257101702218084e-53,2.679414707331435941e-12,3.927190139036797229e-42
8.525945096634464371e-02,1.048501020105358978e-53,2.679513456564602006e-12,3.913027633940826592e-42
8.559572260716954983e-02,1.044938595581943252e-53,2.679580226547033639e-12,3.899635417628358384e-42
8.593193470096975595e-02,1.042483007442825237e-53,2.679636511632836520e-12,3.890389621566949666e-42
8.626809241161653707e-02,1.040385622552740277e-53,2.679741104652661410e-12,3.882410956589746329e-42
8.660420082018371879e-02,1.038897312987514277e-53,2.679825453314422748e-12,3.876735000418032439e-42
8.694026492155396135e-02,1.037733233386372743e-53,2.679902349743974337e-12,3.872280023507248732e-42
8.727628962132460977e-02,1.036315132164915118e-53,2.680002808332706381e-12,3.866843456069478858e-42
8.761227973299723359e-02,1.034612576988886395e-53,2.680056118504185765e-12,3.860413854193219671e-42
8.794823997543664562e-02,1.032345388778920204e-53,2.680099243218153590e-12,3.851892393131390168e-42
8.828417497058729801e-02,1.028525877397081826e-53,2.680195987465493821e-12,3.837502489397050310e-42
8.862008924143734145e-02,1.025242233849993510e-53,2.680261013456574511e-12,3.825158179381190627e-42
8.895598721022077160e-02,1.022959454360517540e-53,2.680315611937012237e-12,3.816563429338997058e-42
8.929187319685071011e-02,1.020994004682786514e-53,2.680418436324334728e-12,3.809084398340725050e-42
8.962775141757700625e-02,1.019590047967703192e-53,2.680501855385721670e-12,3.803728193357229294e-42
8.996362598386306586e-02,1.018479325639826626e-53,2.680576208674515959e-12,3.799479090890840647e-42
9.029950090147674524e-02,1.017065378279499486e-53,2.680671502953073343e-12,3.794069423124328944e-42
9.063538006979147965e-02,1.015349649384147642e-53,2.680722360657098607e-12,3.787597195015992683e-42
9.097126728129383000e-02,1.013075309955978053e-53,2.680764376058475418e-12,3.779053910905446325e-42
9.130716622129406157e-02,1.009268998665050226e-53,2.680859177145943069e-12,3.764722172909967398e-42
9.164308046783689599e-02,1.006199775942995123e-53,2.680922561039427357e-12,3.753184782602892072e-42
9.197901349180916120e-02,1.004051566999565705e-53,2.680975890614298859e-12,3.745097337557574396e-42
9.231496865724152234e-02,1.002190573253775563e-53,2.681077262892164952e-12,3.738014517987744178e-42
9.265094922180130976e-02,1.000855016765759572e-53,2.681159632782967065e-12,3.732918415330983680e-42
9.298695833747332162e-02,9.997872576341538587e-54,2.681231527101520956e-12,3.728835975291358386e-42
9.332299905142536767e-02,9.983824558911895694e-54,2.681322518143512800e-12,3.723470224620524442e-42
9.365907430705497361e-02,9.966682054278101702e-54,2.681371536082685790e-12,3.717008971027861815e-42
9.399518694521367956e-02,9.944053821344990813e-54,2.681412316562804312e-12,3.708513517269092527e-42
9.433133970560481085e-02,9.906520138284657835e-54,2.681505303540258366e-12,3.694387672925938861e-42
9.466753522835032186e-02,9.877533548058666320e-54,2.681567108138229982e-12,3.683492953833433469e-42
9.500377605572234152e-02,9.857136007330607456e-54,2.681619332310539911e-12,3.675814791668245780e-42
9.534006463403413290e-02,9.839381155100481227e-54,2.681719403229804315e-12,3.669056927898625219e-42
9.567640331568534606e-02,9.826593689212491217e-54,2.681800788889867592e-12,3.664177343045757264e-42
9.601279436135574941e-02,9.816275502480123175e-54,2.681870487976353888e-12,3.660234730382950793e-42
9.634923994234162459e-02,9.802366558695127676e-54,2.681957949257835664e-12,3.654929251000257233e-42
9.668574214302827485e-02,9.785350436106379662e-54,2.682005441204446373e-12,3.648519979031784723e-42
9.702229974371559540e-02,9.762962754148580121e-54,2.682045017570973610e-12,3.640118898149787602e-42
9.735891408171917782e-02,9.726160895062411702e-54,2.682136249832729354e-12,3.626273980551502661e-42
